saldo_cuenta(millones),duracion_prestamo_meses,historial_crediticio,proposito,monto(millones),saldo_ahorros(millones),antiguedad_empleo,tasa_cuotas,estado_personal,otros_deudores,historial_residencia,propiedad,edad,plan_cuotas,vivienda,creditos_existentes,trabajo,dependientes,telefono,trabajador_extranjero,incumplimiento
> 10M,24,pagado,muebles,2892,< 1M,> 7 años,3,hombre divorciado,ninguno,4,desconocido/nada,51,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,0
desconocido,24,pagado,muebles,3062,10M - 100M,> 7 años,4,hombre soltero,ninguno,3,desconocido/nada,32,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
desconocido,9,pagado,muebles,2301,1M - 10M,0 - 1 año,2,mujer,ninguno,4,sociedad de ahorros y préstamos,22,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
< 1M,18,pagado,coche (usado),7511,desconocido,> 7 años,1,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,51,ninguno,gratuita,1,empleado calificado,2,sí,sí,1
desconocido,12,crítico,muebles,1258,< 1M,0 - 1 año,2,mujer,ninguno,4,sociedad de ahorros y préstamos,22,ninguno,alquilada,2,residente no calificado,1,ninguno,sí,0
desconocido,24,retrasado,coche (nuevo),717,desconocido,> 7 años,4,hombre casado,ninguno,4,otro,54,ninguno,propia,2,empleado calificado,1,sí,sí,0
1M - 10M,9,pagado,coche (nuevo),1549,desconocido,0 - 1 año,4,hombre soltero,ninguno,2,bienes raíces,35,ninguno,propia,1,desempleado no residente,1,ninguno,sí,0
desconocido,24,crítico,educación,1597,< 1M,> 7 años,4,hombre soltero,ninguno,4,desconocido/nada,54,ninguno,gratuita,2,empleado calificado,2,ninguno,sí,0
1M - 10M,18,crítico,radio/televisión,1795,< 1M,> 7 años,3,mujer,aval,4,bienes raíces,48,banco,alquilada,2,residente no calificado,1,sí,sí,0
< 1M,20,crítico,muebles,4272,< 1M,> 7 años,1,mujer,ninguno,4,sociedad de ahorros y préstamos,24,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,12,crítico,radio/televisión,976,desconocido,> 7 años,4,hombre soltero,ninguno,4,otro,35,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,12,pagado,coche (nuevo),7472,desconocido,desempleado,1,mujer,ninguno,2,bienes raíces,24,ninguno,alquilada,1,desempleado no residente,1,ninguno,sí,0
< 1M,36,pagado,coche (nuevo),9271,< 1M,4 - 7 años,2,hombre soltero,ninguno,1,otro,24,ninguno,propia,1,empleado calificado,1,sí,sí,1
1M - 10M,6,pagado,radio/televisión,590,< 1M,0 - 1 año,3,hombre casado,ninguno,3,bienes raíces,26,ninguno,propia,1,residente no calificado,1,ninguno,no,0
desconocido,12,crítico,radio/televisión,930,desconocido,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,65,ninguno,propia,4,empleado calificado,1,ninguno,sí,0
1M - 10M,42,totalmente pagado en este banco,coche (usado),9283,< 1M,desempleado,1,hombre soltero,ninguno,2,desconocido/nada,55,banco,gratuita,1,autónomo gerente,1,sí,sí,0
1M - 10M,15,totalmente pagado,coche (nuevo),1778,< 1M,0 - 1 año,2,mujer,ninguno,1,bienes raíces,26,ninguno,alquilada,2,desempleado no residente,1,ninguno,sí,1
1M - 10M,8,pagado,negocios,907,< 1M,0 - 1 año,3,hombre casado,ninguno,2,bienes raíces,26,ninguno,propia,1,empleado calificado,1,sí,sí,0
1M - 10M,6,pagado,radio/televisión,484,< 1M,4 - 7 años,3,hombre casado,aval,3,bienes raíces,28,banco,propia,1,residente no calificado,1,ninguno,sí,0
< 1M,36,crítico,coche (usado),9629,< 1M,4 - 7 años,4,hombre soltero,ninguno,4,otro,24,ninguno,propia,2,empleado calificado,1,sí,sí,1
< 1M,48,pagado,electrodomésticos domésticos,3051,< 1M,1 - 4 años,3,hombre soltero,ninguno,4,otro,54,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
< 1M,48,pagado,coche (nuevo),3931,< 1M,4 - 7 años,4,hombre soltero,ninguno,4,desconocido/nada,46,ninguno,gratuita,1,empleado calificado,2,ninguno,sí,1
1M - 10M,36,retrasado,coche (nuevo),7432,< 1M,1 - 4 años,2,mujer,ninguno,2,sociedad de ahorros y préstamos,54,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
desconocido,6,pagado,electrodomésticos domésticos,1338,10M - 100M,1 - 4 años,1,hombre divorciado,ninguno,4,bienes raíces,62,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,6,crítico,radio/televisión,1554,< 1M,4 - 7 años,1,mujer,ninguno,2,otro,24,ninguno,alquilada,2,empleado calificado,1,sí,sí,0
< 1M,36,pagado,otros,15857,< 1M,desempleado,2,hombre divorciado,co-solicitante,3,otro,43,ninguno,propia,1,autónomo gerente,1,ninguno,sí,0
< 1M,18,pagado,radio/televisión,1345,< 1M,1 - 4 años,4,hombre casado,ninguno,3,bienes raíces,26,banco,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,12,pagado,coche (nuevo),1101,< 1M,1 - 4 años,3,hombre casado,ninguno,2,bienes raíces,27,ninguno,propia,2,empleado calificado,1,sí,sí,0
> 10M,12,pagado,radio/televisión,3016,< 1M,1 - 4 años,3,hombre casado,ninguno,1,otro,24,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,36,pagado,muebles,2712,< 1M,> 7 años,2,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,41,banco,propia,1,empleado calificado,2,ninguno,sí,1
< 1M,8,crítico,coche (nuevo),731,< 1M,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,47,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
desconocido,18,crítico,muebles,3780,< 1M,0 - 1 año,3,hombre divorciado,ninguno,2,otro,35,ninguno,propia,2,autónomo gerente,1,sí,sí,0
< 1M,21,crítico,coche (nuevo),1602,< 1M,> 7 años,4,hombre casado,ninguno,3,otro,30,ninguno,propia,2,empleado calificado,1,sí,sí,0
< 1M,18,crítico,coche (nuevo),3966,< 1M,> 7 años,1,mujer,ninguno,4,bienes raíces,33,banco,alquilada,3,empleado calificado,1,sí,sí,1
desconocido,18,totalmente pagado,negocios,4165,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,otro,36,tiendas,propia,2,empleado calificado,2,ninguno,sí,1
< 1M,36,pagado,coche (usado),8335,desconocido,> 7 años,3,hombre soltero,ninguno,4,desconocido/nada,47,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,1
1M - 10M,48,retrasado,negocios,6681,desconocido,1 - 4 años,4,hombre soltero,ninguno,4,desconocido/nada,38,ninguno,gratuita,1,empleado calificado,2,sí,sí,0
desconocido,24,retrasado,negocios,2375,10M - 100M,1 - 4 años,4,hombre soltero,ninguno,2,otro,44,ninguno,propia,2,empleado calificado,2,sí,sí,0
< 1M,18,pagado,coche (nuevo),1216,< 1M,0 - 1 año,4,mujer,ninguno,3,otro,23,ninguno,alquilada,1,empleado calificado,1,sí,sí,1
< 1M,45,totalmente pagado,negocios,11816,< 1M,> 7 años,2,hombre soltero,ninguno,4,otro,29,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,1
1M - 10M,24,pagado,radio/televisión,5084,desconocido,> 7 años,2,mujer,ninguno,4,otro,42,ninguno,propia,1,empleado calificado,1,sí,sí,0
> 10M,15,pagado,radio/televisión,2327,< 1M,0 - 1 año,2,mujer,ninguno,3,bienes raíces,25,ninguno,propia,1,residente no calificado,1,ninguno,sí,1
< 1M,12,totalmente pagado,coche (nuevo),1082,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,otro,48,banco,propia,2,empleado calificado,1,ninguno,sí,1
desconocido,12,pagado,radio/televisión,886,desconocido,1 - 4 años,4,mujer,ninguno,2,otro,21,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,4,pagado,muebles,601,< 1M,0 - 1 año,1,mujer,ninguno,3,bienes raíces,23,ninguno,alquilada,1,residente no calificado,2,ninguno,sí,0
< 1M,24,crítico,coche (usado),2957,< 1M,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,63,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,24,crítico,radio/televisión,2611,< 1M,> 7 años,4,hombre casado,co-solicitante,3,bienes raíces,46,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
< 1M,36,pagado,muebles,5179,< 1M,4 - 7 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,29,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,21,retrasado,coche (usado),2993,< 1M,1 - 4 años,3,hombre soltero,ninguno,2,bienes raíces,28,tiendas,propia,2,residente no calificado,1,ninguno,sí,0
desconocido,18,pagado,reparaciones,1943,< 1M,0 - 1 año,4,mujer,ninguno,4,bienes raíces,23,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
desconocido,24,totalmente pagado en este banco,negocios,1559,< 1M,4 - 7 años,4,hombre soltero,ninguno,4,otro,50,banco,propia,1,empleado calificado,1,sí,sí,0
desconocido,18,pagado,muebles,3422,< 1M,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,47,banco,propia,3,empleado calificado,2,sí,sí,0
1M - 10M,21,pagado,muebles,3976,desconocido,4 - 7 años,2,hombre soltero,ninguno,3,otro,35,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,18,pagado,coche (nuevo),6761,desconocido,1 - 4 años,2,hombre soltero,ninguno,4,otro,68,ninguno,alquilada,2,empleado calificado,1,ninguno,sí,1
desconocido,24,pagado,coche (nuevo),1249,< 1M,0 - 1 año,4,hombre casado,ninguno,2,bienes raíces,28,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,9,pagado,radio/televisión,1364,< 1M,4 - 7 años,3,hombre soltero,ninguno,4,bienes raíces,59,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,12,pagado,radio/televisión,709,< 1M,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,57,tiendas,propia,1,residente no calificado,1,ninguno,sí,1
< 1M,20,crítico,coche (nuevo),2235,< 1M,1 - 4 años,4,hombre casado,aval,2,sociedad de ahorros y préstamos,33,banco,alquilada,2,empleado calificado,1,ninguno,no,1
desconocido,24,crítico,coche (usado),4042,desconocido,4 - 7 años,3,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,43,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,15,crítico,radio/televisión,1471,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,desconocido/nada,35,ninguno,gratuita,2,empleado calificado,1,sí,sí,0
< 1M,18,totalmente pagado en este banco,coche (nuevo),1442,< 1M,4 - 7 años,4,hombre soltero,ninguno,4,desconocido/nada,32,ninguno,gratuita,2,residente no calificado,2,ninguno,sí,1
desconocido,36,retrasado,coche (nuevo),10875,< 1M,> 7 años,2,hombre soltero,ninguno,2,otro,45,ninguno,propia,2,empleado calificado,2,sí,sí,0
desconocido,24,pagado,coche (nuevo),1474,1M - 10M,0 - 1 año,4,hombre casado,ninguno,3,bienes raíces,33,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,10,pagado,reentrenamiento,894,desconocido,4 - 7 años,4,mujer,ninguno,3,sociedad de ahorros y préstamos,40,ninguno,propia,1,empleado calificado,1,sí,sí,0
desconocido,15,crítico,muebles,3343,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,desconocido/nada,28,ninguno,gratuita,1,empleado calificado,1,sí,sí,0
< 1M,15,pagado,coche (nuevo),3959,< 1M,1 - 4 años,3,mujer,ninguno,2,sociedad de ahorros y préstamos,29,ninguno,propia,1,empleado calificado,1,sí,sí,1
desconocido,9,pagado,coche (nuevo),3577,1M - 10M,1 - 4 años,1,hombre soltero,aval,2,bienes raíces,26,ninguno,alquilada,1,empleado calificado,2,ninguno,no,0
desconocido,24,crítico,coche (usado),5804,> 100M,1 - 4 años,4,hombre soltero,ninguno,2,bienes raíces,27,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,18,retrasado,negocios,2169,< 1M,1 - 4 años,4,hombre casado,ninguno,2,otro,28,ninguno,propia,1,empleado calificado,1,sí,sí,1
< 1M,24,pagado,radio/televisión,2439,< 1M,0 - 1 año,4,mujer,ninguno,4,bienes raíces,35,ninguno,propia,1,empleado calificado,1,sí,sí,1
desconocido,27,crítico,muebles,4526,> 100M,0 - 1 año,4,hombre soltero,ninguno,2,bienes raíces,32,tiendas,propia,2,residente no calificado,2,sí,sí,0
desconocido,10,pagado,muebles,2210,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,bienes raíces,25,banco,alquilada,1,residente no calificado,1,ninguno,sí,1
desconocido,15,pagado,muebles,2221,10M - 100M,1 - 4 años,2,mujer,ninguno,4,otro,20,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
< 1M,18,pagado,radio/televisión,2389,< 1M,0 - 1 año,4,mujer,ninguno,1,otro,27,tiendas,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,12,crítico,muebles,3331,< 1M,> 7 años,2,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,42,tiendas,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,36,pagado,negocios,7409,desconocido,> 7 años,3,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,37,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
< 1M,12,pagado,muebles,652,< 1M,> 7 años,4,mujer,ninguno,4,sociedad de ahorros y préstamos,24,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
desconocido,36,retrasado,muebles,7678,10M - 100M,4 - 7 años,2,mujer,ninguno,4,otro,40,ninguno,propia,2,empleado calificado,1,sí,sí,0
> 10M,6,crítico,coche (nuevo),1343,< 1M,> 7 años,1,hombre soltero,ninguno,4,bienes raíces,46,ninguno,propia,2,empleado calificado,2,ninguno,no,0
< 1M,24,crítico,negocios,1382,1M - 10M,4 - 7 años,4,hombre soltero,ninguno,1,bienes raíces,26,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,15,pagado,electrodomésticos domésticos,874,desconocido,0 - 1 año,4,mujer,ninguno,1,bienes raíces,24,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,12,pagado,muebles,3590,< 1M,1 - 4 años,2,hombre soltero,co-solicitante,2,sociedad de ahorros y préstamos,29,ninguno,propia,1,residente no calificado,2,ninguno,sí,0
1M - 10M,11,crítico,coche (nuevo),1322,> 100M,1 - 4 años,4,mujer,ninguno,4,otro,40,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
< 1M,18,totalmente pagado en este banco,radio/televisión,1940,< 1M,0 - 1 año,3,hombre soltero,co-solicitante,4,desconocido/nada,36,banco,gratuita,1,autónomo gerente,1,sí,sí,0
desconocido,36,pagado,radio/televisión,3595,< 1M,> 7 años,4,hombre soltero,ninguno,2,otro,28,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
< 1M,9,pagado,coche (nuevo),1422,< 1M,0 - 1 año,3,hombre soltero,ninguno,2,desconocido/nada,27,ninguno,gratuita,1,autónomo gerente,1,sí,sí,1
desconocido,30,crítico,radio/televisión,6742,desconocido,4 - 7 años,2,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,36,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,24,pagado,coche (usado),7814,< 1M,4 - 7 años,3,hombre soltero,ninguno,3,otro,38,ninguno,propia,1,autónomo gerente,1,sí,sí,0
desconocido,24,pagado,coche (usado),9277,desconocido,1 - 4 años,2,hombre divorciado,ninguno,4,desconocido/nada,48,ninguno,gratuita,1,empleado calificado,1,sí,sí,0
1M - 10M,30,crítico,coche (nuevo),2181,desconocido,> 7 años,4,hombre soltero,ninguno,4,bienes raíces,36,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,18,crítico,radio/televisión,1098,< 1M,desempleado,4,mujer,ninguno,4,otro,65,ninguno,propia,2,desempleado no residente,1,ninguno,sí,0
1M - 10M,24,pagado,muebles,4057,< 1M,4 - 7 años,3,hombre divorciado,ninguno,3,otro,43,ninguno,propia,1,empleado calificado,1,sí,sí,1
< 1M,12,pagado,educación,795,< 1M,0 - 1 año,4,mujer,ninguno,4,sociedad de ahorros y préstamos,53,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
1M - 10M,24,crítico,negocios,2825,desconocido,4 - 7 años,4,hombre soltero,ninguno,3,desconocido/nada,34,ninguno,propia,2,empleado calificado,2,sí,sí,0
1M - 10M,48,pagado,negocios,15672,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,otro,23,ninguno,propia,1,empleado calificado,1,sí,sí,1
desconocido,36,crítico,coche (nuevo),6614,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,34,ninguno,propia,2,autónomo gerente,1,sí,sí,0
desconocido,28,totalmente pagado en este banco,coche (usado),7824,desconocido,0 - 1 año,3,hombre soltero,aval,4,bienes raíces,40,banco,alquilada,2,empleado calificado,2,sí,sí,0
< 1M,27,crítico,negocios,2442,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,43,tiendas,propia,4,autónomo gerente,2,sí,sí,0
desconocido,15,crítico,radio/televisión,1829,< 1M,> 7 años,4,hombre soltero,ninguno,4,otro,46,ninguno,propia,2,empleado calificado,1,sí,sí,0
< 1M,12,crítico,coche (nuevo),2171,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,38,banco,propia,2,residente no calificado,1,ninguno,no,0
1M - 10M,36,crítico,coche (usado),5800,< 1M,1 - 4 años,3,hombre soltero,ninguno,4,otro,34,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,18,crítico,radio/televisión,1169,desconocido,1 - 4 años,4,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,29,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,36,retrasado,coche (usado),8947,desconocido,4 - 7 años,3,hombre soltero,ninguno,2,otro,31,tiendas,propia,1,autónomo gerente,2,sí,sí,0
< 1M,21,pagado,radio/televisión,2606,< 1M,0 - 1 año,4,mujer,ninguno,4,sociedad de ahorros y préstamos,28,ninguno,alquilada,1,autónomo gerente,1,sí,sí,0
desconocido,12,crítico,muebles,1592,> 100M,4 - 7 años,3,mujer,ninguno,2,sociedad de ahorros y préstamos,35,ninguno,propia,1,empleado calificado,1,ninguno,no,0
desconocido,15,pagado,muebles,2186,desconocido,4 - 7 años,1,mujer,ninguno,4,bienes raíces,33,banco,alquilada,1,residente no calificado,1,ninguno,sí,0
< 1M,18,pagado,muebles,4153,< 1M,1 - 4 años,2,hombre soltero,co-solicitante,3,otro,42,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
< 1M,16,crítico,coche (nuevo),2625,< 1M,> 7 años,2,hombre soltero,aval,4,sociedad de ahorros y préstamos,43,banco,alquilada,1,empleado calificado,1,sí,sí,1
desconocido,20,crítico,coche (nuevo),3485,desconocido,0 - 1 año,2,hombre divorciado,ninguno,4,bienes raíces,44,ninguno,propia,2,empleado calificado,1,sí,sí,0
desconocido,36,crítico,coche (usado),10477,desconocido,> 7 años,2,hombre soltero,ninguno,4,desconocido/nada,42,ninguno,gratuita,2,empleado calificado,1,ninguno,sí,0
desconocido,15,pagado,radio/televisión,1386,desconocido,1 - 4 años,4,hombre casado,ninguno,2,bienes raíces,40,ninguno,alquilada,1,empleado calificado,1,sí,sí,0
desconocido,24,pagado,radio/televisión,1278,< 1M,> 7 años,4,hombre soltero,ninguno,1,bienes raíces,36,ninguno,propia,1,autónomo gerente,1,sí,sí,0
< 1M,12,pagado,radio/televisión,1107,< 1M,1 - 4 años,2,hombre soltero,ninguno,2,bienes raíces,20,ninguno,alquilada,1,autónomo gerente,2,sí,sí,0
< 1M,21,pagado,coche (nuevo),3763,desconocido,4 - 7 años,2,hombre soltero,co-solicitante,2,bienes raíces,24,ninguno,propia,1,residente no calificado,1,ninguno,no,0
1M - 10M,36,pagado,educación,3711,desconocido,1 - 4 años,2,hombre casado,ninguno,2,otro,27,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,15,retrasado,coche (usado),3594,< 1M,0 - 1 año,1,mujer,ninguno,2,sociedad de ahorros y préstamos,46,ninguno,propia,2,residente no calificado,1,ninguno,sí,0
1M - 10M,9,pagado,coche (nuevo),3195,desconocido,1 - 4 años,1,mujer,ninguno,2,bienes raíces,33,ninguno,propia,1,residente no calificado,1,ninguno,sí,0
desconocido,36,retrasado,radio/televisión,4454,< 1M,1 - 4 años,4,mujer,ninguno,4,bienes raíces,34,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
1M - 10M,24,crítico,muebles,4736,< 1M,0 - 1 año,2,mujer,ninguno,4,otro,25,banco,propia,1,residente no calificado,1,ninguno,sí,1
1M - 10M,30,pagado,radio/televisión,2991,desconocido,> 7 años,2,mujer,ninguno,4,otro,25,ninguno,propia,1,empleado calificado,1,ninguno,sí,0
desconocido,11,pagado,negocios,2142,> 100M,> 7 años,1,hombre divorciado,ninguno,2,bienes raíces,28,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,24,totalmente pagado en este banco,negocios,3161,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,31,ninguno,alquilada,1,empleado calificado,1,sí,sí,1
1M - 10M,48,totalmente pagado,otros,18424,< 1M,1 - 4 años,1,mujer,ninguno,2,sociedad de ahorros y préstamos,32,banco,propia,1,autónomo gerente,1,sí,no,1
desconocido,10,pagado,coche (usado),2848,1M - 10M,1 - 4 años,1,hombre soltero,co-solicitante,2,bienes raíces,32,ninguno,propia,1,empleado calificado,2,ninguno,sí,0
< 1M,6,pagado,coche (nuevo),14896,< 1M,> 7 años,1,hombre soltero,ninguno,4,desconocido/nada,68,banco,propia,1,autónomo gerente,1,sí,sí,1
< 1M,24,pagado,muebles,2359,1M - 10M,desempleado,1,hombre divorciado,ninguno,1,sociedad de ahorros y préstamos,33,ninguno,propia,1,empleado calificado,1,ninguno,sí,1
< 1M,24,pagado,muebles,3345,< 1M,> 7 años,4,hombre soltero,ninguno,2,sociedad de ahorros y préstamos,39,ninguno,alquilada,1,autónomo gerente,1,sí,sí,1
desconocido,18,crítico,muebles,1817,< 1M,1 - 4 años,4,mujer,ninguno,2,desconocido/nada,28,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,48,retrasado,radio/televisión,12749,10M - 100M,4 - 7 años,4,hombre soltero,ninguno,1,otro,37,ninguno,propia,1,autónomo gerente,1,sí,sí,0
< 1M,9,pagado,radio/televisión,1366,< 1M,0 - 1 año,3,mujer,ninguno,4,sociedad de ahorros y préstamos,22,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,1
1M - 10M,12,pagado,coche (nuevo),2002,< 1M,4 - 7 años,3,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,30,ninguno,alquilada,1,empleado calificado,2,sí,sí,0
< 1M,24,totalmente pagado en este banco,muebles,6872,< 1M,0 - 1 año,2,hombre divorciado,ninguno,1,sociedad de ahorros y préstamos,55,banco,propia,1,empleado calificado,1,sí,sí,1
< 1M,12,totalmente pagado en este banco,coche (nuevo),697,< 1M,0 - 1 año,4,hombre soltero,ninguno,2,otro,46,banco,propia,2,empleado calificado,1,sí,sí,1
< 1M,18,crítico,muebles,1049,< 1M,0 - 1 año,4,mujer,ninguno,4,sociedad de ahorros y préstamos,21,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
< 1M,48,pagado,coche (usado),10297,< 1M,4 - 7 años,4,hombre soltero,ninguno,4,desconocido/nada,39,tiendas,gratuita,3,empleado calificado,2,sí,sí,1
desconocido,30,pagado,radio/televisión,1867,desconocido,> 7 años,4,hombre soltero,ninguno,4,otro,58,ninguno,propia,1,empleado calificado,1,sí,sí,0
< 1M,12,retrasado,coche (nuevo),1344,< 1M,1 - 4 años,4,hombre soltero,ninguno,2,bienes raíces,43,ninguno,propia,2,residente no calificado,2,ninguno,sí,0
< 1M,24,pagado,muebles,1747,< 1M,0 - 1 año,4,hombre soltero,co-solicitante,1,sociedad de ahorros y préstamos,24,ninguno,propia,1,residente no calificado,1,ninguno,no,0
1M - 10M,9,pagado,radio/televisión,1670,< 1M,0 - 1 año,4,mujer,ninguno,2,otro,22,ninguno,propia,1,empleado calificado,1,sí,sí,1
desconocido,9,crítico,coche (nuevo),1224,< 1M,1 - 4 años,3,hombre soltero,ninguno,1,bienes raíces,30,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
desconocido,12,crítico,radio/televisión,522,10M - 100M,> 7 años,4,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,42,ninguno,propia,2,empleado calificado,2,sí,sí,0
< 1M,12,pagado,radio/televisión,1498,< 1M,1 - 4 años,4,mujer,ninguno,1,otro,23,banco,propia,1,empleado calificado,1,ninguno,sí,0
1M - 10M,30,retrasado,radio/televisión,1919,1M - 10M,0 - 1 año,4,hombre soltero,ninguno,3,desconocido/nada,30,tiendas,propia,2,autónomo gerente,1,ninguno,sí,1
> 10M,9,pagado,radio/televisión,745,< 1M,1 - 4 años,3,mujer,ninguno,2,bienes raíces,28,ninguno,propia,1,residente no calificado,1,ninguno,sí,1
1M - 10M,6,pagado,radio/televisión,2063,< 1M,0 - 1 año,4,hombre casado,ninguno,3,otro,30,ninguno,alquilada,1,autónomo gerente,1,sí,sí,0
1M - 10M,60,pagado,educación,6288,< 1M,1 - 4 años,4,hombre soltero,ninguno,4,desconocido/nada,42,ninguno,gratuita,1,empleado calificado,1,ninguno,sí,1
desconocido,24,crítico,coche (usado),6842,desconocido,1 - 4 años,2,hombre soltero,ninguno,4,sociedad de ahorros y préstamos,46,ninguno,propia,2,autónomo gerente,2,sí,sí,0
desconocido,12,pagado,coche (nuevo),3527,desconocido,0 - 1 año,2,hombre soltero,ninguno,3,sociedad de ahorros y préstamos,45,ninguno,propia,1,autónomo gerente,2,sí,sí,0
desconocido,10,pagado,coche (nuevo),1546,< 1M,1 - 4 años,3,hombre soltero,ninguno,2,bienes raíces,31,ninguno,propia,1,residente no calificado,2,ninguno,no,0
desconocido,24,pagado,muebles,929,desconocido,4 - 7 años,4,hombre soltero,ninguno,2,otro,31,tiendas,propia,1,empleado calificado,1,sí,sí,0
desconocido,4,crítico,coche (nuevo),1455,< 1M,4 - 7 años,2,hombre soltero,ninguno,1,bienes raíces,42,ninguno,propia,3,residente no calificado,2,ninguno,sí,0
< 1M,15,pagado,muebles,1845,< 1M,0 - 1 año,4,mujer,aval,1,sociedad de ahorros y préstamos,46,ninguno,alquilada,1,empleado calificado,1,ninguno,sí,0
1M - 10M,48,totalmente pagado,coche (nuevo),8358,10M - 100M,0 - 1 año,1,mujer,ninguno,1,otro,30,ninguno,propia,2,empleado calificado,1,ninguno,sí,0
< 1M,24,totalmente pagado en este banco,muebles,3349,10M - 100M,0 - 1 año,4,hombre soltero,ninguno,4,desconocido/nada,30,ninguno,gratuita,1,empleado calificado,2,sí,sí,1
desconocido,12,pagado,coche (nuevo),2859,desconocido,desempleado,4,hombre soltero,ninguno,4,desconocido/nada,38,ninguno,propia,1,autónomo gerente,1,sí,sí,0
desconocido,18,pagado,muebles,1533,< 1M,0 - 1 año,4,hombre casado,co-solicitante,1,sociedad de ahorros y préstamos,43,ninguno,propia,1,residente no calificado,2,ninguno,sí,1
desconocido,24,pagado,radio/televisión,3621,1M - 10M,> 7 años,2,hombre soltero,ninguno,4,otro,31,ninguno,propia,2,empleado calificado,1,ninguno,sí,1
1M - 10M,18,crítico,negocios,3590,< 1M,desempleado,3,hombre casado,ninguno,3,otro,40,ninguno,propia,3,desempleado no residente,2,sí,sí,0
